time,Hz
2022-09-17 00:00:00,49.981593
2022-09-17 00:00:01,49.98074
2022-09-17 00:00:02,49.97841
2022-09-17 00:00:03,49.97549
2022-09-17 00:00:04,49.97171
2022-09-17 00:00:05,49.96906
2022-09-17 00:00:06,49.96648
2022-09-17 00:00:07,49.96314
2022-09-17 00:00:08,49.96055
2022-09-17 00:00:09,49.95827
2022-09-17 00:00:10,49.95701
2022-09-17 00:00:11,49.95611
2022-09-17 00:00:12,49.956
2022-09-17 00:00:13,49.95587
2022-09-17 00:00:14,49.95637
2022-09-17 00:00:15,49.95657
2022-09-17 00:00:16,49.956032
2022-09-17 00:00:17,49.95562
2022-09-17 00:00:18,49.95555
2022-09-17 00:00:19,49.9557
2022-09-17 00:00:20,49.95544
2022-09-17 00:00:21,49.95449
2022-09-17 00:00:22,49.9535
2022-09-17 00:00:23,49.952864
2022-09-17 00:00:24,49.95258
2022-09-17 00:00:25,49.95213
2022-09-17 00:00:26,49.95185
2022-09-17 00:00:27,49.95222
2022-09-17 00:00:28,49.95323
2022-09-17 00:00:29,49.95447
2022-09-17 00:00:30,49.95309
2022-09-17 00:00:31,49.95164
2022-09-17 00:00:32,49.9504
2022-09-17 00:00:33,49.95076
2022-09-17 00:00:34,49.94983
2022-09-17 00:00:35,49.94734
2022-09-17 00:00:36,49.9465
2022-09-17 00:00:37,49.94706
2022-09-17 00:00:38,49.94852
2022-09-17 00:00:39,49.95037
2022-09-17 00:00:40,49.95085
2022-09-17 00:00:41,49.95104
2022-09-17 00:00:42,49.9529
2022-09-17 00:00:43,49.95499
2022-09-17 00:00:44,49.95537
2022-09-17 00:00:45,49.95373
2022-09-17 00:00:46,49.9508
2022-09-17 00:00:47,49.94724
2022-09-17 00:00:48,49.94562
2022-09-17 00:00:49,49.94414
2022-09-17 00:00:50,49.94305
2022-09-17 00:00:51,49.94327
2022-09-17 00:00:52,49.94477
2022-09-17 00:00:53,49.94717
2022-09-17 00:00:54,49.94892
2022-09-17 00:00:55,49.94972
2022-09-17 00:00:56,49.95135
2022-09-17 00:00:57,49.95232
2022-09-17 00:00:58,49.95066
2022-09-17 00:00:59,49.9486
2022-09-17 00:01:00,49.94583
2022-09-17 00:01:01,49.94329
2022-09-17 00:01:02,49.94057
2022-09-17 00:01:03,49.93724
2022-09-17 00:01:04,49.93613
2022-09-17 00:01:05,49.93606
2022-09-17 00:01:06,49.93648
2022-09-17 00:01:07,49.93749
2022-09-17 00:01:08,49.9381
2022-09-17 00:01:09,49.93859
2022-09-17 00:01:10,49.93993
2022-09-17 00:01:11,49.94056
2022-09-17 00:01:12,49.94117
2022-09-17 00:01:13,49.94091
2022-09-17 00:01:14,49.93977
2022-09-17 00:01:15,49.9386
2022-09-17 00:01:16,49.93896
2022-09-17 00:01:17,49.93987
2022-09-17 00:01:18,49.93954
2022-09-17 00:01:19,49.93893
2022-09-17 00:01:20,49.93979
2022-09-17 00:01:21,49.9418
2022-09-17 00:01:22,49.94281
2022-09-17 00:01:23,49.94379
2022-09-17 00:01:24,49.94621
2022-09-17 00:01:25,49.94844
2022-09-17 00:01:26,49.94923
2022-09-17 00:01:27,49.94951
2022-09-17 00:01:28,49.9496
2022-09-17 00:01:29,49.9488
2022-09-17 00:01:30,49.94711
2022-09-17 00:01:31,49.94644
2022-09-17 00:01:32,49.94592
2022-09-17 00:01:33,49.94604
2022-09-17 00:01:34,49.94529
2022-09-17 00:01:35,49.94459
2022-09-17 00:01:36,49.9453
2022-09-17 00:01:37,49.94662
2022-09-17 00:01:38,49.94728
2022-09-17 00:01:39,49.94794
2022-09-17 00:01:40,49.94901
2022-09-17 00:01:41,49.95002
2022-09-17 00:01:42,49.9499
2022-09-17 00:01:43,49.9495
2022-09-17 00:01:44,49.9491
2022-09-17 00:01:45,49.94934
2022-09-17 00:01:46,49.94992
2022-09-17 00:01:47,49.94829
2022-09-17 00:01:48,49.9466
2022-09-17 00:01:49,49.94702
2022-09-17 00:01:50,49.94928
2022-09-17 00:01:51,49.94979
2022-09-17 00:01:52,49.94844
2022-09-17 00:01:53,49.94687
2022-09-17 00:01:54,49.94681
2022-09-17 00:01:55,49.94767
2022-09-17 00:01:56,49.94725
2022-09-17 00:01:57,49.946
2022-09-17 00:01:58,49.94442
2022-09-17 00:01:59,49.94261
2022-09-17 00:02:00,49.94111
2022-09-17 00:02:01,49.93941
2022-09-17 00:02:02,49.93687
2022-09-17 00:02:03,49.935014
2022-09-17 00:02:04,49.93452
2022-09-17 00:02:05,49.93563
2022-09-17 00:02:06,49.93541
2022-09-17 00:02:07,49.93499
2022-09-17 00:02:08,49.93623
2022-09-17 00:02:09,49.93722
2022-09-17 00:02:10,49.9383
2022-09-17 00:02:11,49.93905
2022-09-17 00:02:12,49.93806
2022-09-17 00:02:13,49.93768
2022-09-17 00:02:14,49.93881
2022-09-17 00:02:15,49.94053
2022-09-17 00:02:16,49.9415
2022-09-17 00:02:17,49.94117
2022-09-17 00:02:18,49.94142
2022-09-17 00:02:19,49.94327
2022-09-17 00:02:20,49.9446
2022-09-17 00:02:21,49.94493
2022-09-17 00:02:22,49.9442
2022-09-17 00:02:23,49.9443
2022-09-17 00:02:24,49.94492
2022-09-17 00:02:25,49.94455
2022-09-17 00:02:26,49.9436
2022-09-17 00:02:27,49.94186
2022-09-17 00:02:28,49.94081
2022-09-17 00:02:29,49.94182
2022-09-17 00:02:30,49.9422
2022-09-17 00:02:31,49.94118
2022-09-17 00:02:32,49.94162
2022-09-17 00:02:33,49.94332
2022-09-17 00:02:34,49.9446
2022-09-17 00:02:35,49.94561
2022-09-17 00:02:36,49.94819
2022-09-17 00:02:37,49.94972
2022-09-17 00:02:38,49.95064
2022-09-17 00:02:39,49.95185
2022-09-17 00:02:40,49.95245
2022-09-17 00:02:41,49.95226
2022-09-17 00:02:42,49.95129
2022-09-17 00:02:43,49.95093
2022-09-17 00:02:44,49.95115
2022-09-17 00:02:45,49.95095
2022-09-17 00:02:46,49.95119
2022-09-17 00:02:47,49.95375
2022-09-17 00:02:48,49.95726
2022-09-17 00:02:49,49.95983
2022-09-17 00:02:50,49.96184
2022-09-17 00:02:51,49.96476
2022-09-17 00:02:52,49.9678
2022-09-17 00:02:53,49.9714
2022-09-17 00:02:54,49.97187
2022-09-17 00:02:55,49.97169
2022-09-17 00:02:56,49.97081
2022-09-17 00:02:57,49.96843
2022-09-17 00:02:58,49.96547
2022-09-17 00:02:59,49.96247
2022-09-17 00:03:00,49.96096
2022-09-17 00:03:01,49.96057
2022-09-17 00:03:02,49.96011
2022-09-17 00:03:03,49.95883
2022-09-17 00:03:04,49.95739
2022-09-17 00:03:05,49.95691
2022-09-17 00:03:06,49.95785
